header,category,location,title,description,website_url,image_name,youtube_url
나의,건강,,탈모치료 건강보험 적용,,https://theminjoo.kr/board/view/electionpromises/723980,./img/cards_webp/interest_webp/center_158_20220115141614_7P.webp,https://youtu.be/qk31f3Q9qlM
나의,건강,,운동활동 포인트 지역화폐로,,https://theminjoo.kr/board/view/electionpromises/737055,./img/cards_webp/interest_webp/center_245_20220130171403_S2.webp,
나의,건강,,HPV 백신 청소년 무료접종,,https://theminjoo.kr/board/view/electionpromises/707353,./img/cards_webp/interest_webp/center_146_20220114171555_86.webp,https://youtu.be/mg6Qspaewfo
나의,건강,,공공의료 70+곳,,https://theminjoo.kr/board/view/electionpromises/707351,,https://youtu.be/gF90TAzGgjk
나의,건강,,전국민 주치의 제도,,https://theminjoo.kr/board/view/electionpromises/707351,,https://youtu.be/gF90TAzGgjk
나의,건강,,불법면허 병원·약국 근절,,https://theminjoo.kr/board/view/electionpromises/706008,./img/cards_webp/interest_webp/center_123_20220114164800_ZC.webp,https://youtu.be/5A-d5tWBrEk
나의,건강,,지역가입자 건강보험료 부담 완화,소득중심의 건강보험,https://theminjoo.kr/board/view/electionpromises/746334,./img/cards_webp/interest_webp/center_451_20220213193755_65.webp,
나의,건강,,"간호사 대체복무 도입, 의료취약지 투입",,https://theminjoo.kr/board/view/electionpromises/743143,./img/cards_webp/interest_webp/center_325_20220209115256_MR.webp,
나의,건강,,학생 건강검진 2년에 1회,,,./img/cards_webp/interest_webp/center_429_20220211142301_7R.webp,
나의,건강,,고가의 중증 아토피 치료제 건강보험 적용,,https://theminjoo.kr/board/view/electionpromises/745553,./img/cards_webp/interest_webp/center_433_20220212151007_4U.webp,
나의,건강,,암 치료 경험자 일상회복 지원,,https://theminjoo.kr/board/view/electionpromises/751739,./img/cards_webp/interest_webp/field_10_20220224152008_5A.webp,
"나,",남성,,병사월급 200만원 ,휴대폰요금 반값,https://theminjoo.kr/board/view/electionpromises/726150,./img/cards_webp/interest_webp/center_160_20220117172356_2Y.webp,https://youtu.be/8JzYVp1IYV4
"나,",남성,,군경력 호봉인정 의무화,취득학점 1학기 인정<br />취업자격증 수강료 전액지원,https://theminjoo.kr/board/view/electionpromises/733667,./img/cards_webp/interest_webp/center_215_20220125164724_SL.webp,
"나,",남성,,동원예비군 3년,훈련보상비 일 20만원,https://theminjoo.kr/board/view/electionpromises/733667,./img/cards_webp/interest_webp/center_215_20220125164724_SL.webp,
"나,",남성,,모든 국공립 병원 = 보훈대상자 위탁병원,,https://theminjoo.kr/board/view/electionpromises/699803,./img/cards_webp/interest_webp/center_106_20220114163134_RE.webp,https://youtu.be/yy-uftpoWoM
"나,",남성,,선택적 모병제,,https://theminjoo.kr/board/view/electionpromises/706920,./img/cards_webp/interest_webp/center_44_20211224190944_CV.webp,https://youtu.be/aDhbExw0Qkc
나의,노후,,어르신 임플란트 65세부터 4개,60세부터 2개,https://theminjoo.kr/board/view/electionpromises/728456,./img/cards_webp/custom_webp/728456.webp,https://youtu.be/r9GLSimuZ7o
나의,노후,,기초연금 월 40만원,현재 소득 하위 70%에서 대상을 점진적으로 확대<br />부부 동시 수급에 따른 감액규정 폐지,,./img/cards_webp/interest_webp/center_163_20220119161809_VF.webp,https://youtu.be/9BNc-EQdupA
나의,노후,,국민연금 인정기간 확대,"군 복무, 출산 국민연금 크레딧 상향",https://theminjoo.kr/board/view/electionpromises/747331,./img/cards_webp/interest_webp/center_485_20220215114727_RY.webp,
나의,노후,,노인 1인가구 연대관계인 지정,,,./img/cards_webp/interest_webp/center_163_20220119161809_VF.webp,https://youtu.be/7JDFkG0vG5g
나의,노후,,평생교육 지원,평생학습계좌제<br />평생학습시민대학 플랫폼,https://theminjoo.kr/board/view/electionpromises/721282,,
나의,노후,,일하는 노인 연금감액 제도개선,,https://theminjoo.kr/board/view/electionpromises/715127,./img/cards_webp/interest_webp/center_149_20220114171833_93.webp,https://youtu.be/A10OW358ywQ
나의,노후,,운전면허 반납시 지역화폐 지급,,https://theminjoo.kr/board/view/electionpromises/739697,./img/cards_webp/interest_webp/center_250_20220202190911_ZK.webp,
나와,농수산,,농어촌 기본소득 100만원,,https://theminjoo.kr/board/view/electionpromises/733918,./img/cards_webp/interest_webp/center_214_20220125144628_WE.webp,https://youtu.be/QarmJepIKDE
나와,농수산,,이장·통장 수당 인상,,https://theminjoo.kr/board/view/electionpromises/733918,./img/cards_webp/interest_webp/center_214_20220125144628_WE.webp,
나와,농수산,,농촌재생뉴딜 300,,https://theminjoo.kr/board/view/electionpromises/733918,,https://youtu.be/TtmFCO-Trnk
나와,농수산,,식량자급 60% 목표,,https://theminjoo.kr/board/view/electionpromises/733918,,https://youtu.be/v3m-ptryfWs
나와,농수산,,주요채소 최저가 보장,,https://theminjoo.kr/board/view/electionpromises/733918,,
나와,농수산,,수산물 방사능피해 대비,,https://theminjoo.kr/board/view/electionpromises/725319,./img/cards_webp/interest_webp/center_159_20220116143851_PN.webp,https://youtu.be/hvpCqVqNzoY
나와,농수산,,농림어업인과 협동조합 혜택 유지,5년간 각종 조세 감면과 저율 과세 유지,https://theminjoo.kr/board/view/electionpromises/753488,https://theminjoo.kr/board/file/view/220301257692,
나와,농수산,,양봉산업을 위해 국유림 밀림수원 조성,국유림에 아까시 등 꿀 많이 나는 밀원수림 조성<br />방역약제비 지원 확대<br />수급관리와 병충해 연구 활성화,https://theminjoo.kr/board/view/electionpromises/755102,https://theminjoo.kr/board/file/view/220304258961,
나의,반려동물,,반려동물 진료비 표준수가제,,https://theminjoo.kr/board/view/electionpromises/699804,./img/cards_webp/interest_webp/center_107_20220114163234_LC.webp,https://youtu.be/oxXQmcHv8SQ
나의,반려동물,,영리목적 파양·입양 중개 금지,,https://theminjoo.kr/board/view/electionpromises/706157,./img/cards_webp/interest_webp/center_126_20220114165317_ZV.webp,
나의,반려동물,,보호소 사칭 신종펫샵 근절,,https://theminjoo.kr/board/view/electionpromises/706157,./img/cards_webp/interest_webp/img_1642147446_54NW7.webp,https://youtu.be/S3Wjph795Xo
나의,반려동물,,개식용·동물학대범죄 금지,,https://theminjoo.kr/board/view/electionpromises/706157,,
나의,부동산,,311만호 공급,"건물분양형, 지분적립형, 누구나집, 이익공유형",https://theminjoo.kr/board/view/electionpromises/731640,./img/cards_webp/custom_webp/274219849_5165038490214436_1561621272107303158_n.webp,https://youtu.be/xU7AobWhL68
나의,부동산,,분양가 상한제 + 반값아파트,,https://theminjoo.kr/board/view/electionpromises/731640,./img/cards_webp/interest_webp/center_188_20220123164917_NA.webp,https://youtu.be/FdkSWL07XW8
나의,부동산,,생애최초 주택구입 LTV 90%까지,,https://theminjoo.kr/board/view/electionpromises/731640,./img/cards_webp/custom_webp/716522.webp,https://youtu.be/5XvbZdU503Q
나의,부동산,,전세사기 근절,,https://theminjoo.kr/board/view/electionpromises/716522,./img/cards_webp/interest_webp/center_150_20220114171925_27.webp,https://youtu.be/1ajb6UMV8qA
나의,부동산,,재개발재건축 신속협의제 & 통합심의적용,"500% 용적률 상향가능 4종주거지역 신설<br />재건축 안전기준 개선, 원주민 재정착 지원비용 공공기여에 포함<br />준공 30년 이상 아파트 안전진단 절차 면제/폐지 추진",https://theminjoo.kr/board/view/electionpromises/723587,./img/cards_webp/interest_webp/center_85_20220113182031_TZ.webp,https://youtu.be/ZJfn74-o64k
나의,부동산,,노후공동주택 수직증축 등 리모델링 지원,,https://theminjoo.kr/board/view/electionpromises/723584,./img/cards_webp/interest_webp/center_85_20220113182031_TZ.webp,https://youtu.be/UjIIwIJOSHE
나의,부동산,,세입자에게 우선 입주권 부여,재개발 후 재정착 기회 부여,https://theminjoo.kr/board/view/briefing/755396?page=3,,https://youtu.be/Rh9g3HjQbaE
나의,부동산,,불법 중개축 주택 마지막 양성화!,"주민 안전·미관 개선·재산권 보호<br />단, 반복·악성 위반 배제",https://theminjoo.kr/board/view/electionpromises/755567,https://theminjoo.kr/board/file/view/220305259236,
나와,산업,,디지털대전환 135조원 투입,,https://theminjoo.kr/board/view/electionpromises/722716,./img/cards_webp/interest_webp/center_73_20220112181142_SF.webp,https://youtu.be/H587q0snrvY
나와,산업,,300만 일자리 창출,디지털일자리 100만<br />사회서비스 일자리 100만,https://theminjoo.kr/board/view/electionpromises/726972,./img/cards_webp/interest_webp/center_161_20220118173057_U5.webp,https://youtu.be/iwXGEUGYeag
나와,산업,,임기내 수출 1조 달러,,https://theminjoo.kr/board/view/electionpromises/722723,./img/cards_webp/interest_webp/center_73_20220112181142_SF.webp,https://youtu.be/1YsnsZjtH1s
나와,산업,,K-비전펀드 50조원 조성,벤처투자 10조원,https://theminjoo.kr/board/view/electionpromises/726972,,https://youtu.be/mjrsfaDizNw
나와,산업,,"혁신기업 3천개, 유니콘 100개",,https://theminjoo.kr/board/view/electionpromises/705817,,https://youtu.be/mw_K7dHzY1Q
나와,산업,,스타트업 특허심사 3개월로 단축,특허심사 인력 확대 양성,https://theminjoo.kr/board/view/electionpromises/728457,./img/cards_webp/interest_webp/center_167_20220120172203_BT.webp,
나의,생활편의,,전국 대중교통에 무료 5G,,https://theminjoo.kr/board/view/electionpromises/736644,./img/cards_webp/interest_webp/center_244_20220129173443_JX.webp,
나의,생활편의,,공공서비스·메신저 사용은 데이터 무료,,https://theminjoo.kr/board/view/electionpromises/699797,./img/cards_webp/interest_webp/center_103_20220114162756_6B.webp,https://youtu.be/uu7gwyn1NpU
나의,생활편의,,유전자변형식품 완전 표시,,https://theminjoo.kr/board/view/electionpromises/705661,./img/cards_webp/interest_webp/center_121_20220114164617_24.webp,https://youtu.be/x1nkO_2UA5Y
나의,생활편의,,신축 아파트 세대당 1.5대 주차면수 확보 의무화,기존 아파트와 빌라 등 연립주택 주차 부족 문제도 개선,https://theminjoo.kr/board/view/electionpromises/756618,https://theminjoo.kr/board/file/view/220307259885,
나의,생활편의,,전기차 보조금 대폭 확대,,https://theminjoo.kr/board/view/electionpromises/699821,./img/cards_webp/interest_webp/center_113_20220114163810_2C.webp,https://youtu.be/nH6Jc1Hg71E
나의,생활편의,,확률형 게임아이템 정보공개,,https://theminjoo.kr/board/view/electionpromises/706108,./img/cards_webp/interest_webp/center_125_20220114165222_N9.webp,https://youtu.be/pXBPcYA8ANc
나의,생활편의,,대중골프장 회원제식 운영 근절,,https://theminjoo.kr/board/view/electionpromises/719407,./img/cards_webp/custom_webp/719407.webp,https://youtu.be/nbW5X4Obq00
나의,생활편의,,배달특급 전국확대,,https://theminjoo.kr/board/view/electionpromises/705068,./img/cards_webp/interest_webp/center_115_20220114164059_6N.webp,https://youtu.be/xw0LSAsJ3kc
나의,생활편의,,한 번 가입에 모든 광역 공공도서관 도서대출·반납,,https://theminjoo.kr/board/view/electionpromises/753099,https://theminjoo.kr/board/file/view/220228257271,
나의,세금,,월세 세액공제율 최대 17%,"최대 5년 뒤까지 이월가능, 공제 대상 주택가격 기준 5억까지 상향",https://theminjoo.kr/board/view/electionpromises/721526,,
나의,세금,,취득세 기준 완화,생애최초 주택구입 취득세 3억 이하 면제<br />주택 취득세 최고세율 부과기준 12억으로 상향,https://theminjoo.kr/board/view/electionpromises/721502,,
나의,세금,,종부세 기준 합리화,일시적 2주택자 1주택자 간주<br />상속지분정리 필요 기간 중 1주택자 간주<br />투기목적 아닌 주택 종부세 중과 제외<br />주택 장기보유 저소득층 및 노인가구 종부세 납부연기,https://theminjoo.kr/board/view/electionpromises/721495,,https://youtu.be/g7z-32XloXE
나의,세금,,공시가격 관련 제도 전면재검토,"재산세, 건강보험료, 복지수급 기준",https://theminjoo.kr/board/view/electionpromises/721492,,
나의,안전,,보이스피싱 강력단속 및 처벌,,https://theminjoo.kr/board/view/electionpromises/705309,./img/cards_webp/interest_webp/center_118_20220114164349_ZY.webp,https://youtu.be/sjqw8JLDpZY
나의,안전,,디지털 성범죄 기구 전국확대,데이트폭력 처벌법 제정,https://theminjoo.kr/board/view/electionpromises/699819,./img/cards_webp/interest_webp/center_59_20220107203130_QM.webp,https://youtu.be/H-xTj_1R3Dg
나의,안전,,변형카메라 유통이력 관리,불법촬영 단속 인프라 구축,https://theminjoo.kr/board/view/electionpromises/699819,./img/cards_webp/interest_webp/center_112_20220114163712_RR.webp,https://youtu.be/C1pq0QeTlaU
나의,안전,,촉법소년 상한 하향,,https://theminjoo.kr/board/view/electionpromises/735948,./img/cards_webp/interest_webp/center_241_20220127185619_PR.webp,
나의,안전,,디지털금융범죄 모니터링 상시화,,https://theminjoo.kr/board/view/electionpromises/705069,./img/cards_webp/interest_webp/center_116_20220114164155_4J.webp,
나의,안전,,딥페이크 범죄 강력대처,,https://theminjoo.kr/board/view/electionpromises/705618,./img/cards_webp/interest_webp/center_120_20220114164530_N5.webp,https://youtu.be/NXQT_aEpnO0
나의,안전,,"아동학대, 영아살해 강력처벌",,https://theminjoo.kr/board/view/electionpromises/699806,./img/cards_webp/interest_webp/center_108_20220114163341_ND.webp,https://youtu.be/_BXMwEnhhwU
나의,안전,,현장실습생 산재 근절,,https://theminjoo.kr/board/view/electionpromises/741961,./img/cards_webp/interest_webp/center_324_20220208145357_ZQ.webp,
나의,안전,,"자전거, 전동킥보드 인프라 확충",자전거 보험제도 실시,https://theminjoo.kr/board/view/electionpromises/749197,./img/cards_webp/interest_webp/center_497_20220219185538_RC.webp,
나의,안전,,국·공립유치원 통원버스 확대,"아이들은 더 안전하게, 보호자의 등하원 부담은 더 적게!",https://theminjoo.kr/board/view/electionpromises/739705,./img/cards_webp/interest_webp/center_252_20220204120721_ME.webp,
"나,",여성,,산부인과 -> 여성건강의학과,,https://theminjoo.kr/board/view/electionpromises/699811,./img/cards_webp/interest_webp/center_111_20220114163623_6W.webp,https://youtu.be/N3R_ScV-r7c
"나,",여성,,현대적 피임시술 건강보험 확대,,https://theminjoo.kr/board/view/electionpromises/707043,./img/cards_webp/interest_webp/center_141_20220114170937_MZ.webp,https://youtu.be/I96aKObwObA
